Title,Year,Rated,Released,Runtime,Genre,Director,Writer,Actors,Plot,Language,Country,Awards,Poster,Ratings,Metascore,imdbRating,imdbVotes,imdbID,Type,DVD,BoxOffice,Production,Website,Response
10 Double Zero,2017,N/A,N/A,N/A,Crime,Christian Sesma,"Christian Sesma, Paul Sloan, Nick Vallelonga",N/A,"DET. DANA REEVES is infamous for crossing the line when she has to. After several fellow officers are killed in a brazen public shootout with bank robbers, Reeves and her partner, DET. ...",English,USA,N/A,N/A,[],N/A,N/A,N/A,tt5843576,movie,N/A,N/A,N/A,N/A,True
The Croods 2,2020,N/A,23 Dec 2020,N/A,"Animation, Adventure, Comedy, Family, Fantasy",Joel Crawford,"Kirk DeMicco (creator), Dan Hageman (screenplay), Kevin Hageman (screenplay), Chris Sanders (creator)","Nicolas Cage, Ryan Reynolds, Emma Stone, Kat Dennings","The prehistoric family the Croods are challenged by a rival family the Bettermans, who claim to be better and more evolved.",English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNTc1M2YxNjUtYzc3ZS00Mjc2LThlMzEtOTVjYmEyNDE4YWQwXkEyXkFqcGdeQXVyNzgzMjAzNzc@._V1_SX300.jpg,[],N/A,N/A,N/A,tt2850386,movie,N/A,N/A,20th Century Fox,N/A,True
Pig,2020,N/A,N/A,N/A,Drama,Michael Sarnoski,"Vanessa Block, Michael Sarnoski, Michael Sarnoski","Nicolas Cage, Alex Wolff, Adam Arkin, Nina Belforte",A truffle hunter who lives alone in the Oregonian wilderness must return to his past in Portland in search of his beloved foraging pig after she is kidnapped.,English,USA,N/A,N/A,[],N/A,N/A,N/A,tt11003218,movie,N/A,N/A,N/A,N/A,True
Prisoners of the Ghostland,2020,N/A,N/A,N/A,"Action, Horror, Thriller",Sion Sono,"Aaron Hendry, Reza Sixo Safai (screenplay)","Nicolas Cage, Sofia Boutella, Ed Skrein, Teresa Ruiz",A notorious criminal must break an evil curse in order to rescue an abducted girl who has mysteriously disappeared.,English,"Japan, USA",N/A,https://m.media-amazon.com/images/M/MV5BNWQ0NTg0ZDAtM2U3MS00OGE1LTk4NTUtZGEzM2U5MDhjODQ2XkEyXkFqcGdeQXVyMTA1MDIxODk4._V1_SX300.jpg,[],N/A,N/A,N/A,tt6372694,movie,N/A,N/A,N/A,N/A,True
Jiu Jitsu,2020,N/A,09 Jul 2020,N/A,"Action, Fantasy",Dimitri Logothetis,"Dimitri Logothetis (Writer), Jim McGrath (Writer)","Nicolas Cage, Marie Avgeropoulos, Frank Grillo, Tony Jaa","A new Sci-Fi Martial Arts franchise from Dimitri Logothetis, Director/Producer of Kickboxer: Retaliation.",N/A,USA,N/A,https://m.media-amazon.com/images/M/MV5BYjFlMGU5NGItOGEwNS00NjQxLWEyZDUtMjAxMThkODI2OTM1XkEyXkFqcGdeQXVyMDk0MTk4MA@@._V1_SX300.jpg,[],N/A,N/A,N/A,tt9624766,movie,N/A,N/A,N/A,N/A,True
Grand Isle,2019,N/A,06 Dec 2019,97 min,"Action, Thriller",Stephen S. Campanelli,"Iver William Jallah, Rich Ronat","Nicolas Cage, KaDee Strickland, Luke Benward, Kelsey Grammer",A young father is charged for murder and must prove his innocence through recalling a very twisted and dark night of events.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDAyN2M2OTgtMjc5Ni00MDJiLTk0OWEtMWI3MDA0NzNjZmRkXkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Metacritic', 'Value': '29/100'}]",29,4.6,897,tt8380776,movie,N/A,N/A,N/A,N/A,True
Primal,2019,R,08 Nov 2019,97 min,Action,Nick Powell,Richard Leder,"Nicolas Cage, Famke Janssen, Kevin Durand, Michael Imperioli",Frank's caught wildlife in the Brazilian jungle incl. a 400 lbs. white jaguar. He ships it on the same ship as an arrested assassin. The assassin breaks free and frees the animals.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BZThhM2Y1NjItMGE1NS00NWQ4LTliM2ItZDA5ZDNjYjk0YTE0XkEyXkFqcGdeQXVyMzQwMTY2Nzk@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.8/10'}, {'Source': 'Metacritic', 'Value': '32/100'}]",32,4.8,"2,656",tt7394816,movie,N/A,N/A,N/A,N/A,True
Kill Chain,2019,R,18 Oct 2019,91 min,"Action, Thriller",Ken Sanzel,Ken Sanzel,"Nicolas Cage, Ryan Kwanten, Enrico Colantoni, Anabelle Acosta",Three strangers' lives are inevitably entangled in a conflict none of them are prepared for.,English,USA,N/A,https://m.media-amazon.com/images/M/MV5BNDk0YWRhOWEtMjRlZi00M2RjLWJmOTAtZTVkNWY5Yzg5NGE5XkEyXkFqcGdeQXVyMTA4MzI0NDQz._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.1/10'}]",N/A,5.1,"1,954",tt8535180,movie,N/A,N/A,N/A,N/A,True
Running with the Devil,2019,R,20 Sep 2019,100 min,"Crime, Drama, Thriller",Jason Cabell,Jason Cabell,"Nicolas Cage, Natalia Reyes, Cole Hauser, Leslie Bibb",The CEO of an international conglomerate sends two of his most regarded executives to investigate why shipments of cocaine are being hijacked and over cut somewhere on the supply chain.,"English, Spanish","Colombia, USA",N/A,https://m.media-amazon.com/images/M/MV5BN2JjZWU0MTUtZDNkMC00MmViLTg1MDAtNzI1OTNlODJhN2E3XkEyXkFqcGdeQXVyMTA1MDIxODk4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '5.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '25%'}, {'Source': 'Metacritic', 'Value': '42/100'}]",42,5.4,"3,985",tt5792656,movie,20 Sep 2019,N/A,Quiver Distribution,N/A,True
Color Out of Space,2019,Unrated,05 Feb 2020,111 min,"Horror, Sci-Fi",Richard Stanley,"Scarlett Amaris, H.P. Lovecraft (based on the short story by), Richard Stanley (screenplay)","Nicolas Cage, Joely Richardson, Madeleine Arthur, Elliot Knight",A secluded farm is struck by a strange meteorite which has apocalyptic consequences for the family living there and possibly the world.,English,"Malaysia, Portugal, USA",2 wins & 1 nomination.,https://m.media-amazon.com/images/M/MV5BZjQ1YTM4M2UtMTQxNS00YjdjLTgwZGYtZTgzYmFiYjFkYzNlXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '6.3/10'}, {'Source': 'Rotten Tomatoes', 'Value': '85%'}, {'Source': 'Metacritic', 'Value': '70/100'}]",70,6.3,"6,188",tt5073642,movie,N/A,N/A,RLJE Films,N/A,True
A Score to Settle,2019,Not Rated,02 Aug 2019,103 min,"Action, Crime, Drama, Thriller",Shawn Ku,"John Stuart Newman, John Stuart Newman","Nicolas Cage, Benjamin Bratt, Noah Le Gros, Karolina Wydra",An ex-enforcer for a local crime syndicate has vowed to enact retribution on his mob bosses after 19 years of wrongful imprisonment. The only thing diverting his violent plans is a new found relationship to his beloved son.,"English, Spanish, Italian","Canada, USA",N/A,https://m.media-amazon.com/images/M/MV5BOWIzODA0NmUtYmQyMS00NmU3LTlkZjQtNmJlMGJlNmU0ZWIzXkEyXkFqcGdeQXVyMTA1MDIxODk4._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.5/10'}, {'Source': 'Rotten Tomatoes', 'Value': '15%'}, {'Source': 'Metacritic', 'Value': '37/100'}]",37,4.5,"2,477",tt3758162,movie,02 Aug 2019,N/A,RLJE Films,N/A,True
Spider-Man: Into the Spider-Verse,2018,PG,14 Dec 2018,117 min,"Animation, Action, Adventure, Family, Sci-Fi","Bob Persichetti, Peter Ramsey, Rodney Rothman","Phil Lord (screenplay by), Rodney Rothman (screenplay by), Phil Lord (story by)","Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali","Teen Miles Morales becomes Spider-Man of his reality, crossing his path with five counterparts from other dimensions to stop a threat for all realities.","English, Spanish",USA,Won 1 Oscar. Another 75 wins & 53 nominations.,https://m.media-amazon.com/images/M/MV5BMjMwNDkxMTgzOF5BMl5BanBnXkFtZTgwNTkwNTQ3NjM@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '8.4/10'}, {'Source': 'Rotten Tomatoes', 'Value': '97%'}, {'Source': 'Metacritic', 'Value': '87/100'}]",87,8.4,"296,909",tt4633694,movie,26 Feb 2019,N/A,Sony Pictures,N/A,True
Between Worlds,2018,R,21 Dec 2018,90 min,"Drama, Fantasy, Thriller",Maria Pulera,Maria Pulera,"Nicolas Cage, Franka Potente, Penelope Mitchell, Garrett Clayton","Joe meets a mother who can contact spirits when suffocating. Her daughter is dying when Joe helps the mother spiritually contact the daughter and save her. Unfortunately, the spirit in the daughter's body is now that of Joe's dead wife.",English,Spain,N/A,https://m.media-amazon.com/images/M/MV5BZjQ3YWUwMjItMzJkYy00ZTc4LTk2ZmEtMGJkMmYwMjYwNTdiXkEyXkFqcGdeQXVyNjg3MDMxNzU@._V1_SX300.jpg,"[{'Source': 'Internet Movie Database', 'Value': '4.6/10'}, {'Source': 'Rotten Tomatoes', 'Value': '29%'}, {'Source': 'Metacritic', 'Value': '24/100'}]",24,4.6,"5,020",tt7295450,movie,26 Feb 2019,N/A,N/A,N/A,True
